IDSede;IDAnagrafica;Descrizione;Indirizzo;Civico;CAP;Localita;Provincia;Nazione
1;1;NADINI ROBERTA;VIA ETNA;12;16134;GENOVA;GE;IT
2;2;CARUFFI CARLO;VIA ROMA;78;16132;GENOVA;GE;IT
3;3;CERVISIO GAETANO;VIA CATANIA;9;45011;ADRIA;RO;IT
4;4;CASSATURO ANDREA;PIAZZA SIMONI;62;80122;NAPOLI;NA;IT
5;5;BEGHINI ALESSANDRA;VIA RIMINI;28;25033;COLOGNE;BS;IT
6;5;BEGHINI ALESSANDRA;VIA RIMINI;30;25033;COLOGNE;BS;IT
7;6;MOSETTI GABRIELE;VIA S. FRANCESCO;71;25035;OSPITALETTO;BS;IT
8;7;JOLLY FITNESS CLUB;VIA MARCONI;72;80128;NAPOLI;NA;IT
9;8;BAR CARPE DIEM;VIA MOROSELLI;15;80127;NAPOLI;NA;IT
10;8;SICENI LUCIANO;VIA NITTI;15;80127;NAPOLI;NA;IT
11;9;PANIFICIO PEROTTI;VIA DIAZ;52;75100;MATERA;MT;IT
12;9;PANIFICIO PEROTTI;VIA S. CATERINA;16;75100;MATERA;MT;IT
13;10;VILLA DOMENICI;VICOLO FRIULI;31;70022;ALTAMURA;BA;IT
14;10;RISTORANTE VILLA DOMENICI;VICOLO FRIULI;33;70022;ALTAMURA;BA;IT
